id,hashtagId,count,siblingTagId,createdAt,updatedAt
94,4,30,47,2017-11-13 12:37:22.124-05,2017-11-13 12:41:35.292-05
92,4,25,43,2017-11-13 12:37:22.113-05,2017-11-13 12:41:26.965-05
136,13,31,16,2017-11-13 12:37:22.327-05,2017-11-13 12:41:53.17-05
10,2,26,19,2017-11-13 12:37:21.616-05,2017-11-13 12:41:35.023-05
86,4,28,38,2017-11-13 12:37:22.086-05,2017-11-13 12:41:49.971-05
31,2,29,49,2017-11-13 12:37:21.784-05,2017-11-13 12:41:35.075-05
98,6,23,3,2017-11-13 12:37:22.145-05,2017-11-13 12:41:55.747-05
65,4,26,3,2017-11-13 12:37:21.952-05,2017-11-13 12:41:49.909-05
93,4,33,46,2017-11-13 12:37:22.117-05,2017-11-13 12:41:49.985-05
69,4,35,14,2017-11-13 12:37:21.97-05,2017-11-13 12:41:49.922-05
73,4,30,19,2017-11-13 12:37:22.001-05,2017-11-13 12:41:49.935-05
75,4,29,21,2017-11-13 12:37:22.011-05,2017-11-13 12:41:49.935-05
61,3,25,46,2017-11-13 12:37:21.931-05,2017-11-13 12:41:55.74-05
116,6,30,35,2017-11-13 12:37:22.225-05,2017-11-13 12:41:44.613-05
26,2,24,43,2017-11-13 12:37:21.76-05,2017-11-13 12:41:47.388-05
64,3,19,50,2017-11-13 12:37:21.946-05,2017-11-13 12:41:52.652-05
29,2,25,47,2017-11-13 12:37:21.77-05,2017-11-13 12:41:47.389-05
16,2,27,29,2017-11-13 12:37:21.7-05,2017-11-13 12:41:47.359-05
96,4,28,50,2017-11-13 12:37:22.139-05,2017-11-13 12:41:35.297-05
35,3,23,6,2017-11-13 12:37:21.796-05,2017-11-13 12:41:55.684-05
2078,42,36,4,2017-11-13 12:37:36.389-05,2017-11-13 12:41:51.662-05
76,4,26,23,2017-11-13 12:37:22.015-05,2017-11-13 12:41:49.944-05
82,4,35,31,2017-11-13 12:37:22.054-05,2017-11-13 12:41:35.256-05
77,4,31,22,2017-11-13 12:37:22.015-05,2017-11-13 12:41:49.944-05
134,13,25,15,2017-11-13 12:37:22.322-05,2017-11-13 12:41:50.244-05
97,6,28,2,2017-11-13 12:37:22.142-05,2017-11-13 12:41:35.301-05
81,4,27,30,2017-11-13 12:37:22.056-05,2017-11-13 12:41:35.256-05
100,6,25,13,2017-11-13 12:37:22.154-05,2017-11-13 12:41:52.675-05
120,6,26,39,2017-11-13 12:37:22.245-05,2017-11-13 12:41:44.63-05
85,4,29,35,2017-11-13 12:37:22.083-05,2017-11-13 12:41:32.869-05
2393,32,26,19,2017-11-13 12:37:53.672-05,2017-11-13 12:41:46.084-05
121,6,24,41,2017-11-13 12:37:22.251-05,2017-11-13 12:41:52.714-05
44,3,22,22,2017-11-13 12:37:21.843-05,2017-11-13 12:41:55.699-05
101,6,29,14,2017-11-13 12:37:22.162-05,2017-11-13 12:41:44.562-05
123,6,24,43,2017-11-13 12:37:22.259-05,2017-11-13 12:41:55.799-05
24,2,28,38,2017-11-13 12:37:21.741-05,2017-11-13 12:41:47.376-05
46,3,24,26,2017-11-13 12:37:21.853-05,2017-11-13 12:41:55.703-05
17,2,21,30,2017-11-13 12:37:21.699-05,2017-11-13 12:41:47.359-05
41,3,24,19,2017-11-13 12:37:21.831-05,2017-11-13 12:41:52.604-05
104,6,30,17,2017-11-13 12:37:22.173-05,2017-11-13 12:41:52.681-05
102,6,29,15,2017-11-13 12:37:22.162-05,2017-11-13 12:41:55.754-05
111,6,28,29,2017-11-13 12:37:22.203-05,2017-11-13 12:41:55.777-05
122,6,28,40,2017-11-13 12:37:22.251-05,2017-11-13 12:41:55.799-05
49,3,21,30,2017-11-13 12:37:21.875-05,2017-11-13 12:41:55.721-05
117,6,25,34,2017-11-13 12:37:22.225-05,2017-11-13 12:41:55.791-05
126,6,29,46,2017-11-13 12:37:22.27-05,2017-11-13 12:41:55.807-05
37,3,24,14,2017-11-13 12:37:21.81-05,2017-11-13 12:41:49.852-05
119,6,29,38,2017-11-13 12:37:22.24-05,2017-11-13 12:41:52.714-05
124,6,24,44,2017-11-13 12:37:22.262-05,2017-11-13 12:41:52.714-05
66,4,33,2,2017-11-13 12:37:21.952-05,2017-11-13 12:41:35.19-05
790,39,22,35,2017-11-13 12:37:25.047-05,2017-11-13 12:41:46.432-05
731,37,24,43,2017-11-13 12:37:24.821-05,2017-11-13 12:41:57.011-05
337,20,33,29,2017-11-13 12:37:23.181-05,2017-11-13 12:41:50.771-05
597,31,31,35,2017-11-13 12:37:24.258-05,2017-11-13 12:41:48.469-05
602,31,27,41,2017-11-13 12:37:24.28-05,2017-11-13 12:41:54.272-05
442,23,16,41,2017-11-13 12:37:23.633-05,2017-11-13 12:41:18.669-05
672,34,28,49,2017-11-13 12:37:24.557-05,2017-11-13 12:41:42.48-05
760,38,28,39,2017-11-13 12:37:24.935-05,2017-11-13 12:41:51.491-05
745,38,32,17,2017-11-13 12:37:24.878-05,2017-11-13 12:41:54.425-05
750,38,32,26,2017-11-13 12:37:24.897-05,2017-11-13 12:41:54.452-05
367,21,31,26,2017-11-13 12:37:23.324-05,2017-11-13 12:41:53.734-05
512,28,27,49,2017-11-13 12:37:23.912-05,2017-11-13 12:41:36.884-05
481,28,25,2,2017-11-13 12:37:23.793-05,2017-11-13 12:41:48.21-05
437,23,23,35,2017-11-13 12:37:23.612-05,2017-11-13 12:41:33.697-05
298,19,23,20,2017-11-13 12:37:23.022-05,2017-11-13 12:41:53.546-05
376,21,33,40,2017-11-13 12:37:23.361-05,2017-11-13 12:41:41.442-05
676,35,27,13,2017-11-13 12:37:24.577-05,2017-11-13 12:41:46.157-05
357,21,24,6,2017-11-13 12:37:23.28-05,2017-11-13 12:41:53.689-05
2394,36,23,41,2017-11-13 12:37:53.968-05,2017-11-13 12:41:28.767-05
392,22,32,15,2017-11-13 12:37:23.42-05,2017-11-13 12:41:56.068-05
198,15,31,14,2017-11-13 12:37:22.599-05,2017-11-13 12:41:50.392-05
331,20,30,22,2017-11-13 12:37:23.162-05,2017-11-13 12:41:53.646-05
308,19,26,34,2017-11-13 12:37:23.059-05,2017-11-13 12:41:33.491-05
641,34,27,2,2017-11-13 12:37:24.444-05,2017-11-13 12:41:48.495-05
303,19,19,28,2017-11-13 12:37:23.04-05,2017-11-13 12:41:36.468-05
755,38,33,31,2017-11-13 12:37:24.914-05,2017-11-13 12:41:54.456-05
716,37,27,22,2017-11-13 12:37:24.751-05,2017-11-13 12:41:56.943-05
496,28,25,29,2017-11-13 12:37:23.847-05,2017-11-13 12:41:48.239-05
526,29,24,23,2017-11-13 12:37:23.976-05,2017-11-13 12:41:51.17-05
516,29,25,13,2017-11-13 12:37:23.931-05,2017-11-13 12:41:51.149-05
507,28,21,43,2017-11-13 12:37:23.892-05,2017-11-13 12:41:48.265-05
587,31,27,20,2017-11-13 12:37:24.214-05,2017-11-13 12:41:54.246-05
467,26,26,33,2017-11-13 12:37:23.735-05,2017-11-13 12:41:54.087-05
288,17,27,50,2017-11-13 12:37:22.983-05,2017-11-13 12:41:53.422-05
372,21,31,33,2017-11-13 12:37:23.343-05,2017-11-13 12:41:53.746-05
263,17,30,15,2017-11-13 12:37:22.884-05,2017-11-13 12:41:50.559-05
192,14,26,50,2017-11-13 12:37:22.573-05,2017-11-13 12:41:47.8-05
147,13,21,33,2017-11-13 12:37:22.385-05,2017-11-13 12:41:53.224-05
346,20,23,41,2017-11-13 12:37:23.237-05,2017-11-13 12:41:53.664-05
702,35,28,47,2017-11-13 12:37:24.684-05,2017-11-13 12:41:48.637-05
321,20,23,3,2017-11-13 12:37:23.121-05,2017-11-13 12:41:53.604-05
522,29,32,17,2017-11-13 12:37:23.953-05,2017-11-13 12:41:51.156-05
243,16,32,33,2017-11-13 12:37:22.793-05,2017-11-13 12:41:53.315-05
213,15,30,35,2017-11-13 12:37:22.677-05,2017-11-13 12:41:47.843-05
561,30,27,31,2017-11-13 12:37:24.113-05,2017-11-13 12:41:56.609-05
612,33,29,6,2017-11-13 12:37:24.331-05,2017-11-13 12:41:54.3-05
412,22,23,44,2017-11-13 12:37:23.518-05,2017-11-13 12:41:53.846-05
381,21,28,46,2017-11-13 12:37:23.383-05,2017-11-13 12:41:50.89-05
397,22,25,23,2017-11-13 12:37:23.456-05,2017-11-13 12:41:50.936-05
326,20,29,14,2017-11-13 12:37:23.141-05,2017-11-13 12:41:50.742-05
352,20,29,49,2017-11-13 12:37:23.259-05,2017-11-13 12:41:53.68-05
547,30,27,4,2017-11-13 12:37:24.059-05,2017-11-13 12:41:37.038-05
712,37,21,16,2017-11-13 12:37:24.729-05,2017-11-13 12:41:56.936-05
666,34,24,41,2017-11-13 12:37:24.538-05,2017-11-13 12:41:48.549-05
616,33,28,17,2017-11-13 12:37:24.351-05,2017-11-13 12:41:54.324-05
740,38,29,6,2017-11-13 12:37:24.858-05,2017-11-13 12:41:54.397-05
167,14,31,16,2017-11-13 12:37:22.469-05,2017-11-13 12:41:50.323-05
152,13,23,39,2017-11-13 12:37:22.404-05,2017-11-13 12:41:50.285-05
172,14,28,22,2017-11-13 12:37:22.486-05,2017-11-13 12:41:50.336-05
317,19,26,46,2017-11-13 12:37:23.101-05,2017-11-13 12:41:50.714-05
407,22,27,37,2017-11-13 12:37:23.493-05,2017-11-13 12:41:56.115-05
462,26,32,22,2017-11-13 12:37:23.716-05,2017-11-13 12:41:56.278-05
572,30,24,43,2017-11-13 12:37:24.153-05,2017-11-13 12:41:56.63-05
647,34,30,14,2017-11-13 12:37:24.465-05,2017-11-13 12:41:48.51-05
805,40,25,13,2017-11-13 12:37:25.11-05,2017-11-13 12:41:42.806-05
576,31,29,2,2017-11-13 12:37:24.175-05,2017-11-13 12:41:48.428-05
682,35,28,17,2017-11-13 12:37:24.597-05,2017-11-13 12:41:48.585-05
809,40,25,19,2017-11-13 12:37:25.127-05,2017-11-13 12:41:37.89-05
487,28,24,15,2017-11-13 12:37:23.811-05,2017-11-13 12:41:48.224-05
592,31,30,28,2017-11-13 12:37:24.234-05,2017-11-13 12:41:48.456-05
736,37,22,50,2017-11-13 12:37:24.839-05,2017-11-13 12:41:48.711-05
157,13,26,47,2017-11-13 12:37:22.421-05,2017-11-13 12:41:53.234-05
697,35,22,39,2017-11-13 12:37:24.662-05,2017-11-13 12:41:46.204-05
632,33,32,38,2017-11-13 12:37:24.408-05,2017-11-13 12:41:54.356-05
636,33,31,46,2017-11-13 12:37:24.427-05,2017-11-13 12:41:51.279-05
651,34,24,21,2017-11-13 12:37:24.483-05,2017-11-13 12:41:42.429-05
283,17,23,43,2017-11-13 12:37:22.964-05,2017-11-13 12:41:47.94-05
766,38,29,47,2017-11-13 12:37:24.954-05,2017-11-13 12:41:54.472-05
162,14,24,3,2017-11-13 12:37:22.447-05,2017-11-13 12:41:50.299-05
293,19,24,13,2017-11-13 12:37:23.002-05,2017-11-13 12:41:53.532-05
476,26,29,46,2017-11-13 12:37:23.775-05,2017-11-13 12:41:56.325-05
551,30,29,16,2017-11-13 12:37:24.077-05,2017-11-13 12:41:56.576-05
661,34,28,35,2017-11-13 12:37:24.52-05,2017-11-13 12:41:48.537-05
627,33,29,30,2017-11-13 12:37:24.389-05,2017-11-13 12:41:42.349-05
386,22,22,3,2017-11-13 12:37:23.402-05,2017-11-13 12:41:56.055-05
228,16,33,6,2017-11-13 12:37:22.735-05,2017-11-13 12:41:55.998-05
726,37,24,35,2017-11-13 12:37:24.79-05,2017-11-13 12:41:48.683-05
273,17,25,30,2017-11-13 12:37:22.924-05,2017-11-13 12:41:47.92-05
780,39,24,21,2017-11-13 12:37:25.007-05,2017-11-13 12:41:51.58-05
223,15,28,49,2017-11-13 12:37:22.717-05,2017-11-13 12:41:45.41-05
142,13,26,26,2017-11-13 12:37:22.365-05,2017-11-13 12:41:53.212-05
770,39,29,4,2017-11-13 12:37:24.971-05,2017-11-13 12:41:51.523-05
203,15,31,21,2017-11-13 12:37:22.618-05,2017-11-13 12:41:50.407-05
691,35,25,33,2017-11-13 12:37:24.64-05,2017-11-13 12:41:34.128-05
785,39,22,29,2017-11-13 12:37:25.025-05,2017-11-13 12:41:51.591-05
177,14,32,29,2017-11-13 12:37:22.508-05,2017-11-13 12:41:50.343-05
182,14,28,37,2017-11-13 12:37:22.528-05,2017-11-13 12:41:50.351-05
795,39,23,43,2017-11-13 12:37:25.067-05,2017-11-13 12:41:25.929-05
542,29,25,47,2017-11-13 12:37:24.04-05,2017-11-13 12:41:48.341-05
218,15,23,41,2017-11-13 12:37:22.697-05,2017-11-13 12:41:47.856-05
426,23,18,19,2017-11-13 12:37:23.575-05,2017-11-13 12:41:51.01-05
238,16,29,26,2017-11-13 12:37:22.775-05,2017-11-13 12:41:56.019-05
258,17,22,3,2017-11-13 12:37:22.851-05,2017-11-13 12:41:53.339-05
248,16,26,39,2017-11-13 12:37:22.814-05,2017-11-13 12:41:50.518-05
446,23,21,49,2017-11-13 12:37:23.655-05,2017-11-13 12:41:41.678-05
233,16,31,19,2017-11-13 12:37:22.756-05,2017-11-13 12:41:53.28-05
341,20,25,37,2017-11-13 12:37:23.205-05,2017-11-13 12:41:50.778-05
537,29,35,40,2017-11-13 12:37:24.022-05,2017-11-13 12:41:56.533-05
422,23,24,13,2017-11-13 12:37:23.555-05,2017-11-13 12:41:50.996-05
253,16,36,46,2017-11-13 12:37:22.832-05,2017-11-13 12:41:56.047-05
492,28,23,21,2017-11-13 12:37:23.829-05,2017-11-13 12:41:31.362-05
431,23,22,28,2017-11-13 12:37:23.594-05,2017-11-13 12:41:36.602-05
775,39,24,15,2017-11-13 12:37:24.989-05,2017-11-13 12:41:51.553-05
456,26,30,17,2017-11-13 12:37:23.691-05,2017-11-13 12:41:54.057-05
402,22,34,31,2017-11-13 12:37:23.474-05,2017-11-13 12:41:56.091-05
361,21,24,19,2017-11-13 12:37:23.305-05,2017-11-13 12:41:53.719-05
187,14,25,43,2017-11-13 12:37:22.551-05,2017-11-13 12:41:47.786-05
416,23,27,2,2017-11-13 12:37:23.536-05,2017-11-13 12:41:36.541-05
657,34,25,28,2017-11-13 12:37:24.501-05,2017-11-13 12:41:48.524-05
278,17,22,37,2017-11-13 12:37:22.946-05,2017-11-13 12:41:50.592-05
567,30,27,37,2017-11-13 12:37:24.133-05,2017-11-13 12:41:56.618-05
532,29,31,33,2017-11-13 12:37:24.003-05,2017-11-13 12:41:51.177-05
472,26,32,38,2017-11-13 12:37:23.754-05,2017-11-13 12:41:54.091-05
502,28,23,35,2017-11-13 12:37:23.868-05,2017-11-13 12:41:48.244-05
387,22,31,4,2017-11-13 12:37:23.402-05,2017-11-13 12:41:50.898-05
772,39,26,6,2017-11-13 12:37:24.979-05,2017-11-13 12:41:46.39-05
237,16,29,22,2017-11-13 12:37:22.771-05,2017-11-13 12:41:56.013-05
163,14,35,4,2017-11-13 12:37:22.447-05,2017-11-13 12:41:50.303-05
662,34,25,37,2017-11-13 12:37:24.52-05,2017-11-13 12:41:56.821-05
287,17,23,49,2017-11-13 12:37:22.98-05,2017-11-13 12:41:53.418-05
586,31,26,19,2017-11-13 12:37:24.215-05,2017-11-13 12:41:54.241-05
183,14,31,38,2017-11-13 12:37:22.534-05,2017-11-13 12:41:50.357-05
148,13,27,34,2017-11-13 12:37:22.385-05,2017-11-13 12:41:40.922-05
178,14,31,31,2017-11-13 12:37:22.513-05,2017-11-13 12:41:47.766-05
206,15,24,28,2017-11-13 12:37:22.645-05,2017-11-13 12:41:47.827-05
241,16,29,30,2017-11-13 12:37:22.79-05,2017-11-13 12:41:56.027-05
411,22,28,43,2017-11-13 12:37:23.518-05,2017-11-13 12:41:56.115-05
316,19,21,44,2017-11-13 12:37:23.101-05,2017-11-13 12:41:53.584-05
188,14,23,44,2017-11-13 12:37:22.555-05,2017-11-13 12:41:50.366-05
436,23,22,34,2017-11-13 12:37:23.612-05,2017-11-13 12:41:41.649-05
707,37,19,3,2017-11-13 12:37:24.708-05,2017-11-13 12:41:56.906-05
217,15,24,39,2017-11-13 12:37:22.694-05,2017-11-13 12:41:50.434-05
491,28,21,20,2017-11-13 12:37:23.829-05,2017-11-13 12:41:25.427-05
356,21,26,13,2017-11-13 12:37:23.279-05,2017-11-13 12:41:53.71-05
296,19,26,17,2017-11-13 12:37:23.018-05,2017-11-13 12:41:53.542-05
711,37,27,15,2017-11-13 12:37:24.729-05,2017-11-13 12:41:56.93-05
552,30,25,15,2017-11-13 12:37:24.078-05,2017-11-13 12:41:56.567-05
789,39,28,33,2017-11-13 12:37:25.04-05,2017-11-13 12:41:51.609-05
747,38,36,20,2017-11-13 12:37:24.883-05,2017-11-13 12:41:54.437-05
417,22,28,50,2017-11-13 12:37:23.537-05,2017-11-13 12:41:53.855-05
762,38,21,41,2017-11-13 12:37:24.939-05,2017-11-13 12:41:54.467-05
626,33,32,31,2017-11-13 12:37:24.389-05,2017-11-13 12:41:54.356-05
727,37,27,38,2017-11-13 12:37:24.793-05,2017-11-13 12:41:51.413-05
196,15,25,13,2017-11-13 12:37:22.593-05,2017-11-13 12:41:50.385-05
631,33,28,39,2017-11-13 12:37:24.408-05,2017-11-13 12:41:51.265-05
606,31,24,47,2017-11-13 12:37:24.302-05,2017-11-13 12:41:54.277-05
721,37,27,30,2017-11-13 12:37:24.774-05,2017-11-13 12:41:56.978-05
252,16,26,44,2017-11-13 12:37:22.83-05,2017-11-13 12:41:53.325-05
506,28,17,41,2017-11-13 12:37:23.892-05,2017-11-13 12:41:48.259-05
601,31,31,40,2017-11-13 12:37:24.28-05,2017-11-13 12:41:56.692-05
302,19,18,23,2017-11-13 12:37:23.037-05,2017-11-13 12:41:50.674-05
541,29,32,46,2017-11-13 12:37:24.04-05,2017-11-13 12:41:56.543-05
466,26,34,31,2017-11-13 12:37:23.735-05,2017-11-13 12:41:56.305-05
362,21,31,17,2017-11-13 12:37:23.305-05,2017-11-13 12:41:53.715-05
556,30,26,22,2017-11-13 12:37:24.096-05,2017-11-13 12:41:56.576-05
701,35,33,46,2017-11-13 12:37:24.683-05,2017-11-13 12:41:46.217-05
681,35,20,19,2017-11-13 12:37:24.596-05,2017-11-13 12:41:46.185-05
382,21,27,47,2017-11-13 12:37:23.383-05,2017-11-13 12:41:53.756-05
646,34,25,15,2017-11-13 12:37:24.465-05,2017-11-13 12:41:56.785-05
377,21,24,39,2017-11-13 12:37:23.361-05,2017-11-13 12:41:50.873-05
752,38,23,28,2017-11-13 12:37:24.903-05,2017-11-13 12:41:48.745-05
810,40,31,17,2017-11-13 12:37:25.127-05,2017-11-13 12:41:48.802-05
742,38,31,14,2017-11-13 12:37:24.864-05,2017-11-13 12:41:51.451-05
457,26,29,16,2017-11-13 12:37:23.691-05,2017-11-13 12:41:56.269-05
211,15,29,33,2017-11-13 12:37:22.669-05,2017-11-13 12:41:50.427-05
427,23,23,20,2017-11-13 12:37:23.575-05,2017-11-13 12:41:51.011-05
517,29,28,6,2017-11-13 12:37:23.931-05,2017-11-13 12:41:56.469-05
447,23,23,47,2017-11-13 12:37:23.655-05,2017-11-13 12:41:41.67-05
332,20,32,21,2017-11-13 12:37:23.162-05,2017-11-13 12:41:53.64-05
677,35,30,6,2017-11-13 12:37:24.578-05,2017-11-13 12:41:46.141-05
591,31,34,26,2017-11-13 12:37:24.234-05,2017-11-13 12:41:56.666-05
671,34,27,50,2017-11-13 12:37:24.557-05,2017-11-13 12:41:48.564-05
401,22,26,30,2017-11-13 12:37:23.474-05,2017-11-13 12:41:56.091-05
521,29,26,19,2017-11-13 12:37:23.953-05,2017-11-13 12:41:51.162-05
527,29,35,26,2017-11-13 12:37:23.982-05,2017-11-13 12:41:56.5-05
596,31,34,34,2017-11-13 12:37:24.258-05,2017-11-13 12:41:56.682-05
486,28,26,14,2017-11-13 12:37:23.811-05,2017-11-13 12:41:48.216-05
536,29,22,39,2017-11-13 12:37:24.022-05,2017-11-13 12:41:51.189-05
461,26,27,23,2017-11-13 12:37:23.717-05,2017-11-13 12:41:41.843-05
566,30,31,38,2017-11-13 12:37:24.132-05,2017-11-13 12:41:48.402-05
272,17,25,28,2017-11-13 12:37:22.92-05,2017-11-13 12:41:47.914-05
2395,41,28,10,2017-11-13 12:37:54.153-05,2017-11-13 12:41:54.503-05
143,13,22,28,2017-11-13 12:37:22.365-05,2017-11-13 12:41:27.448-05
366,21,23,28,2017-11-13 12:37:23.324-05,2017-11-13 12:41:31.13-05
767,38,32,49,2017-11-13 12:37:24.958-05,2017-11-13 12:41:54.477-05
804,40,33,4,2017-11-13 12:37:25.105-05,2017-11-13 12:41:37.851-05
732,37,19,44,2017-11-13 12:37:24.824-05,2017-11-13 12:41:51.421-05
226,16,27,3,2017-11-13 12:37:22.732-05,2017-11-13 12:41:55.998-05
421,23,26,14,2017-11-13 12:37:23.555-05,2017-11-13 12:41:50.996-05
231,16,31,15,2017-11-13 12:37:22.752-05,2017-11-13 12:41:56.005-05
652,34,26,20,2017-11-13 12:37:24.483-05,2017-11-13 12:41:34.044-05
441,23,22,40,2017-11-13 12:37:23.633-05,2017-11-13 12:41:41.663-05
667,34,27,43,2017-11-13 12:37:24.538-05,2017-11-13 12:41:56.826-05
501,28,20,37,2017-11-13 12:37:23.868-05,2017-11-13 12:41:48.253-05
783,39,23,26,2017-11-13 12:37:25.018-05,2017-11-13 12:41:42.731-05
173,14,26,23,2017-11-13 12:37:22.489-05,2017-11-13 12:41:50.336-05
798,39,29,47,2017-11-13 12:37:25.082-05,2017-11-13 12:41:46.447-05
793,39,19,41,2017-11-13 12:37:25.06-05,2017-11-13 12:41:19.656-05
477,26,24,44,2017-11-13 12:37:23.775-05,2017-11-13 12:41:54.102-05
814,40,22,23,2017-11-13 12:37:25.152-05,2017-11-13 12:41:42.835-05
247,16,21,37,2017-11-13 12:37:22.811-05,2017-11-13 12:41:56.041-05
